,id,date_recorded,gps_height,longitude,latitude,basin,public_meeting,scheme_management,construction_year,extraction_type_class,management,payment_type,water_quality,quantity,source,source_class,waterpoint_type,year_recorded,date_recordedMonth,date_recordedElapsed,population_log,age
0,50785,2013-02-04 00:00:00,1996.0,35.29,-4.05969643,Internal,1,Parastatal,2012.0,other,parastatal,never pay,soft,seasonal,rainwater harvesting,surface,other,2013,2,763,5.7745515455444085,1.0
1,51630,2013-02-04 00:00:00,1569.0,36.66,-3.30921425,Pangani,1,VWC,2000.0,gravity,vwc,never pay,soft,insufficient,spring,groundwater,communal standpipe,2013,2,763,5.707110264748875,13.0
2,17168,2013-02-01 00:00:00,1567.0,34.77,-5.00434437,Internal,1,VWC,2010.0,other,vwc,never pay,soft,insufficient,rainwater harvesting,surface,other,2013,2,760,6.2166061010848646,3.0
3,45559,2013-01-22 00:00:00,267.0,38.06,-9.41867222,Ruvuma / Southern Coast,1,VWC,1987.0,other,vwc,unknown,soft,dry,shallow well,groundwater,other,2013,1,750,5.5254529391317835,26.0
4,49871,2013-03-27 00:00:00,1260.0,35.01,-10.950412,Ruvuma / Southern Coast,1,Water Board,2000.0,gravity,water board,monthly,soft,enough,spring,groundwater,communal standpipe,2013,3,814,4.110873864173311,13.0
5,52449,2013-03-04 00:00:00,1685.0,36.69,-3.30242017,Pangani,1,VWC,1990.0,gravity,vwc,never pay,soft,enough,spring,groundwater,communal standpipe,2013,3,791,5.303304908059076,23.0
6,24806,2011-03-02 00:00:00,550.0,36.4,-7.54138236,Rufiji,1,VWC,2007.0,handpump,vwc,never pay,salty,enough,machine dbh,groundwater,hand pump,2011,3,58,6.398594934535208,4.0
7,28965,2013-01-25 00:00:00,234.0,39.61,-10.89378645,Ruvuma / Southern Coast,1,Water Board,1982.0,submersible,vwc,never pay,soft,dry,machine dbh,groundwater,communal standpipe multiple,2013,1,753,0.6931471805599453,31.0
8,36301,2013-01-23 00:00:00,584.0,39.26,-10.82358805,Ruvuma / Southern Coast,1,VWC,1997.0,gravity,vwc,per bucket,soft,insufficient,spring,groundwater,communal standpipe,2013,1,751,3.713572066704308,16.0
9,54122,2013-03-18 00:00:00,1083.0,37.1,-3.25175375,Pangani,1,Water Board,2003.0,gravity,water board,monthly,soft,enough,spring,groundwater,communal standpipe,2013,3,805,0.6931471805599453,10.0
10,419,2013-10-03 00:00:00,1259.0,37.23,-3.24112116,Pangani,1,Water Board,2006.0,gravity,water board,per bucket,soft,enough,spring,groundwater,communal standpipe,2013,10,1004,4.330733340286331,7.0
11,45750,2013-02-27 00:00:00,608.0,37.69,-4.55597478,Pangani,1,other,2002.0,other,vwc,never pay,soft,dry,rainwater harvesting,surface,other,2013,2,786,6.2166061010848646,11.0
12,653,2012-10-11 00:00:00,784.6435897435898,33.66,-4.16572015,Internal,1,Other,1998.0,motorpump,vwc,unknown,soft,dry,machine dbh,groundwater,communal standpipe multiple,2012,10,647,5.351858133476067,14.0
13,14017,2011-07-29 00:00:00,176.0,33.01,-3.2095291,Lake Victoria,1,VWC,1997.0,motorpump,vwc,per bucket,soft,enough,machine dbh,groundwater,communal standpipe multiple,2011,7,207,5.442417710521793,14.0
14,44607,2011-03-02 00:00:00,1625.0,35.62,-7.87029042,Rufiji,1,VWC,1984.0,gravity,vwc,monthly,soft,enough,spring,groundwater,communal standpipe,2011,3,58,0.6931471805599453,27.0
15,40228,2013-06-03 00:00:00,916.0,35.48,-10.91259619,Ruvuma / Southern Coast,1,VWC,1989.0,gravity,vwc,annually,soft,enough,river,surface,communal standpipe multiple,2013,6,882,0.6931471805599453,24.0
16,27714,2011-02-24 00:00:00,-39.0,39.85,-7.72794628,Rufiji,1,VWC,2003.0,handpump,vwc,never pay,soft,enough,shallow well,groundwater,hand pump,2011,2,52,6.803505257608338,8.0
17,28785,2011-03-11 00:00:00,1793.0,38.25,-4.5658016,Pangani,1,VWC,1978.0,gravity,vwc,monthly,soft,enough,spring,groundwater,communal standpipe,2011,3,67,0.6931471805599453,33.0
